Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteOne,,,2018-11-06 15:10:00,2018-11-06 15:10:13,12.752s,PASSED
,,,,,,
Test Cases/TestTwo_APIChaining,,,2018-11-06 15:10:02,2018-11-06 15:10:08,6.415s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CountryInfoSOAPService/GetCountryListByNames)),,,2018-11-06 15:10:04,2018-11-06 15:10:06,2.439s,PASSED
Statement - xml1 = responseBodyContent,,,2018-11-06 15:10:06,2018-11-06 15:10:07,1.179s,PASSED
Statement - dataValue = new groovy.util.XmlSlurper().parseText(xml1),,,2018-11-06 15:10:07,2018-11-06 15:10:07,0.145s,PASSED
Statement - countryCode = sISOCode.text(),,,2018-11-06 15:10:07,2018-11-06 15:10:07,0.045s,PASSED
Statement - countryCode = countryCode,,,2018-11-06 15:10:07,2018-11-06 15:10:07,0.053s,PASSED
"Statement - println("".... value for Global Variable is : "" + countryCode)",,,2018-11-06 15:10:07,2018-11-06 15:10:07,0.005s,PASSED
sendRequest,,,2018-11-06 15:10:07,2018-11-06 15:10:08,0.776s,PASSED
,,,,,,
Test Cases/TestOne,,,2018-11-06 15:10:08,2018-11-06 15:10:13,4.358s,PASSED
sendRequest,,,2018-11-06 15:10:09,2018-11-06 15:10:10,0.861s,PASSED
sendRequestAndVerify,,,2018-11-06 15:10:10,2018-11-06 15:10:13,2.926s,PASSED
